Numer_char,Komentarz,Grupa,Dzial,Osoba,sciezka_char
000147,Komentarz230,Grupa 1,Dzial 0,Elsie Alvarez,000005/000080/000147
000148,Komentarz375,Grupa 0,Dzial 2,Allen Thompson,000009/000068/000148
000149,Komentarz561,Grupa 1,Dzial 0,Alison Lyons,000012/000074/000149
000150,Komentarz269,Grupa 1,Dzial 3,Izydor Patryk,000013/000098/000150
000151,Komentarz127,Grupa 2,Dzial 1,Marta Clarke,000011/000054/000151
000152,Komentarz685,Grupa 0,Dzial 3,Jose Gilbert ,000013/000066/000152
000153,Komentarz256,Grupa 2,Dzial 0,Cecelia Joseph,000022/000094/000153
000154,Komentarz106,Grupa 1,Dzial 3,Izydor Patryk,000005/000030/000154
000155,Komentarz256,Grupa 1,Dzial 1,Orlando Delgado,000004/000031/000155
000156,Komentarz195,Grupa 0,Dzial 1,Frederick Mclaughlin,000010/000075/000156
000157,Komentarz578,Grupa 2,Dzial 0,Cecelia Joseph,000013/000066/000157
000158,Komentarz858,Grupa 2,Dzial 1,Marta Clarke,000019/000082/000158
000159,Komentarz224,Grupa 0,Dzial 2,Al Welch ,000020/000044/000159
000160,Komentarz86,Grupa 2,Dzial 1,Marta Clarke,000020/000063/000160
000161,Komentarz804,Grupa 2,Dzial 3,Shawn Santos ,000013/000072/000161
000162,Komentarz209,Grupa 1,Dzial 3,Rex Casey ,000009/000067/000162
000163,Komentarz138,Grupa 2,Dzial 3,Corey Mccormick ,000013/000066/000163
000164,Komentarz395,Grupa 0,Dzial 3,Jose Gilbert ,000025/000040/000164
000165,Komentarz36,Grupa 2,Dzial 3,Corey Mccormick ,000009/000047/000165
000166,Komentarz325,Grupa 2,Dzial 1,Diana Pierce ,000020/000063/000166
000167,Komentarz21,Grupa 2,Dzial 0,Cecelia Joseph,000004/000053/000167
000168,Komentarz191,Grupa 0,Dzial 2,Cora Moody ,000017/000093/000168
000169,Komentarz142,Grupa 0,Dzial 2,Jenna Dean,000022/000049/000169
000170,Komentarz259,Grupa 0,Dzial 2,Allen Thompson,000021/000052/000170
000171,Komentarz52,Grupa 0,Dzial 3,Naomi Shelton,000011/000090/000171
000172,Komentarz823,Grupa 0,Dzial 3,Jose Gilbert ,000004/000053/000172
000173,Komentarz544,Grupa 0,Dzial 3,Janie Grant,000005/000030/000173
000174,Komentarz967,Grupa 2,Dzial 0,Cecelia Joseph,000002/000061/000174
000175,Komentarz53,Grupa 0,Dzial 2,Nora Roberts,000011/000057/000175
000176,Komentarz633,Grupa 0,Dzial 2,Al Welch ,000013/000098/000176
000177,Komentarz622,Grupa 2,Dzial 2,Guy Moran ,000021/000079/000177
000178,Komentarz719,Grupa 0,Dzial 2,Nora Roberts,000013/000048/000178
000179,Komentarz429,Grupa 0,Dzial 2,Allen Thompson,000008/000029/000179
000180,Komentarz200,Grupa 2,Dzial 1,Marta Clarke,000018/000086/000180
000181,Komentarz501,Grupa 2,Dzial 2,Alberto Allison ,000009/000032/000181
000182,Komentarz183,Grupa 1,Dzial 0,Alison Lyons,000019/000035/000182
000183,Komentarz881,Grupa 1,Dzial 3,Izydor Patryk,000025/000051/000183
000184,Komentarz755,Grupa 2,Dzial 1,Marta Clarke,000021/000079/000184
000185,Komentarz691,Grupa 1,Dzial 3,Rex Casey ,000014/000060/000185
000186,Komentarz229,Grupa 0,Dzial 2,Nora Roberts,000015/000088/000186
000187,Komentarz190,Grupa 0,Dzial 2,Cora Moody ,000014/000095/000187
000188,Komentarz422,Grupa 0,Dzial 3,Dennis Kelley ,000011/000077/000188
000189,Komentarz868,Grupa 1,Dzial 0,Elsie Alvarez,000005/000080/000189
000190,Komentarz550,Grupa 0,Dzial 3,Jose Gilbert ,000010/000092/000190
000191,Komentarz857,Grupa 0,Dzial 3,Dennis Kelley ,000005/000030/000191
000192,Komentarz470,Grupa 0,Dzial 2,Irene Sandoval,000019/000065/000192
000193,Komentarz518,Grupa 2,Dzial 1,Ramiro Thompson,000012/000058/000193
000194,Komentarz303,Grupa 2,Dzial 1,Diana Pierce ,000017/000093/000194
000195,Komentarz583,Grupa 1,Dzial 1,Brett Swanson ,000012/000058/000195
000196,Komentarz256,Grupa 0,Dzial 3,Salvador Reese ,000005/000080/000196
000197,Komentarz789,Grupa 0,Dzial 2,Irene Sandoval,000010/000041/000197
000198,Komentarz52,Grupa 1,Dzial 3,Izydor Patryk,000004/000053/000198
000199,Komentarz52,Grupa 1,Dzial 0,Alison Lyons,000018/000071/000199
000200,Komentarz169,Grupa 0,Dzial 3,Jose Gilbert ,000008/000062/000200
000201,Komentarz830,Grupa 2,Dzial 1,Ramiro Thompson,000014/000060/000201
000202,Komentarz91,Grupa 1,Dzial 2,Tanya Bridges ,000006/000026/000202
000203,Komentarz343,Grupa 0,Dzial 2,Bernard Ellis ,000018/000071/000203
000204,Komentarz647,Grupa 2,Dzial 1,Diana Pierce ,000010/000034/000204
000205,Komentarz271,Grupa 1,Dzial 3,Rex Casey ,000018/000097/000205
000206,Komentarz312,Grupa 0,Dzial 2,Cora Moody ,000022/000094/000206
000207,Komentarz635,Grupa 2,Dzial 3,Shawn Santos ,000020/000087/000207
000208,Komentarz349,Grupa 1,Dzial 3,Izydor Patryk,000004/000031/000208
000209,Komentarz76,Grupa 0,Dzial 2,Al Welch ,000002/000064/000209
000210,Komentarz457,Grupa 2,Dzial 1,Marta Clarke,000012/000046/000210
000211,Komentarz998,Grupa 2,Dzial 2,Christina Nguyen,000016/000055/000211
000212,Komentarz642,Grupa 1,Dzial 2,Tanya Bridges ,000002/000084/000212
000213,Komentarz810,Grupa 1,Dzial 2,Tanya Bridges ,000004/000053/000213
000214,Komentarz363,Grupa 2,Dzial 1,Alan Underwood ,000010/000041/000214
000215,Komentarz493,Grupa 2,Dzial 3,Corey Mccormick ,000009/000085/000215
000216,Komentarz378,Grupa 0,Dzial 2,Allen Thompson,000012/000046/000216
000217,Komentarz31,Grupa 0,Dzial 3,Salvador Reese ,000013/000048/000217
000218,Komentarz602,Grupa 1,Dzial 1,Ernestine Mathis ,000009/000032/000218
000219,Komentarz565,Grupa 2,Dzial 3,Shawn Santos ,000015/000088/000219
000220,Komentarz2,Grupa 1,Dzial 3,Rex Casey ,000014/000095/000220
000221,Komentarz392,Grupa 1,Dzial 3,Izydor Patryk,000019/000083/000221
000222,Komentarz340,Grupa 2,Dzial 1,Alan Underwood ,000020/000069/000222
000223,Komentarz75,Grupa 1,Dzial 1,Angelica Hale,000014/000073/000223
000224,Komentarz103,Grupa 0,Dzial 3,Salvador Reese ,000020/000087/000224
000225,Komentarz960,Grupa 0,Dzial 2,Jenna Dean,000024/000091/000225
000226,Komentarz901,Grupa 2,Dzial 0,Cecelia Joseph,000010/000075/000226
000227,Komentarz388,Grupa 2,Dzial 3,Shawn Santos ,000011/000096/000227
000228,Komentarz590,Grupa 0,Dzial 3,Dennis Kelley ,000020/000063/000228
000229,Komentarz94,Grupa 1,Dzial 1,Orlando Delgado,000013/000072/000229
000230,Komentarz324,Grupa 2,Dzial 2,Guy Moran ,000024/000091/000230
000231,Komentarz317,Grupa 2,Dzial 2,Alberto Allison ,000022/000049/000231
000232,Komentarz941,Grupa 2,Dzial 0,Cecelia Joseph,000012/000070/000232
000233,Komentarz455,Grupa 0,Dzial 2,Noah Barnes ,000010/000034/000233
000234,Komentarz603,Grupa 1,Dzial 1,Angelica Hale,000009/000068/000234
000235,Komentarz298,Grupa 1,Dzial 1,Brett Swanson ,000015/000088/000235
000236,Komentarz911,Grupa 0,Dzial 3,Naomi Shelton,000005/000080/000236
000237,Komentarz951,Grupa 0,Dzial 2,Jenna Dean,000012/000058/000237
000238,Komentarz802,Grupa 1,Dzial 1,Brett Swanson ,000018/000071/000238
000239,Komentarz946,Grupa 2,Dzial 1,Roy Weaver ,000018/000097/000239
000240,Komentarz251,Grupa 1,Dzial 1,Ernestine Mathis ,000008/000062/000240
000241,Komentarz291,Grupa 0,Dzial 3,Naomi Shelton,000008/000029/000241
000242,Komentarz132,Grupa 0,Dzial 2,Bernard Ellis ,000016/000100/000242
000243,Komentarz920,Grupa 0,Dzial 3,Dennis Kelley ,000011/000077/000243
000244,Komentarz645,Grupa 2,Dzial 1,Diana Pierce ,000009/000068/000244
000245,Komentarz321,Grupa 2,Dzial 1,Ramiro Thompson,000019/000083/000245
000246,Komentarz367,Grupa 1,Dzial 1,Luther Ramsey ,000013/000072/000246
000247,Komentarz714,Grupa 0,Dzial 2,Cora Moody ,000011/000077/000247
000248,Komentarz266,Grupa 0,Dzial 2,Irene Sandoval,000002/000061/000248
000249,Komentarz109,Grupa 0,Dzial 2,Noah Barnes ,000022/000081/000249
000250,Komentarz551,Grupa 0,Dzial 2,Jenna Dean,000012/000070/000250
000251,Komentarz365,Grupa 1,Dzial 0,Rogelio Tucker,000019/000065/000251
000252,Komentarz879,Grupa 0,Dzial 2,Allen Thompson,000019/000065/000252
000253,Komentarz52,Grupa 2,Dzial 0,Cecelia Joseph,000006/000026/000253
000254,Komentarz18,Grupa 0,Dzial 2,Jenna Dean,000024/000042/000254
000255,Komentarz398,Grupa 0,Dzial 3,Lorraine Cortez ,000023/000078/000255
000256,Komentarz393,Grupa 0,Dzial 2,Bernard Ellis ,000004/000053/000256
000257,Komentarz500,Grupa 0,Dzial 2,Al Welch ,000019/000035/000257
000258,Komentarz333,Grupa 2,Dzial 0,Phil Briggs,000019/000065/000258
000259,Komentarz306,Grupa 1,Dzial 2,Tanya Bridges ,000021/000079/000259
000260,Komentarz805,Grupa 0,Dzial 2,Bernard Ellis ,000014/000073/000260
000261,Komentarz553,Grupa 0,Dzial 2,Allen Thompson,000009/000085/000261
000262,Komentarz700,Grupa 2,Dzial 0,Cecelia Joseph,000012/000070/000262
000263,Komentarz30,Grupa 0,Dzial 3,Naomi Shelton,000024/000042/000263
000264,Komentarz913,Grupa 1,Dzial 1,Orlando Delgado,000021/000052/000264
000265,Komentarz385,Grupa 0,Dzial 2,Al Welch ,000012/000058/000265
000266,Komentarz821,Grupa 1,Dzial 3,Rex Casey ,000012/000074/000266
000267,Komentarz439,Grupa 2,Dzial 1,Diana Pierce ,000025/000051/000267
000268,Komentarz561,Grupa 0,Dzial 2,Cora Moody ,000025/000040/000268
000269,Komentarz184,Grupa 0,Dzial 3,Lorraine Cortez ,000019/000083/000269
000270,Komentarz461,Grupa 2,Dzial 1,Ramiro Thompson,000010/000037/000270
000271,Komentarz969,Grupa 0,Dzial 2,Allen Thompson,000012/000058/000271
000272,Komentarz281,Grupa 1,Dzial 3,Izydor Patryk,000005/000038/000272
000273,Komentarz171,Grupa 1,Dzial 1,Brett Swanson ,000010/000075/000273
000274,Komentarz536,Grupa 1,Dzial 0,Elsie Alvarez,000004/000031/000274
000275,Komentarz947,Grupa 2,Dzial 3,Shawn Santos ,000019/000082/000275
000276,Komentarz384,Grupa 0,Dzial 3,Paulette Mcdaniel ,000013/000048/000276
000277,Komentarz936,Grupa 0,Dzial 3,Janie Grant,000009/000068/000277
000278,Komentarz756,Grupa 0,Dzial 3,Naomi Shelton,000013/000098/000278
000279,Komentarz760,Grupa 1,Dzial 1,Brett Swanson ,000014/000073/000279
000280,Komentarz826,Grupa 2,Dzial 2,Christina Nguyen,000025/000040/000280
000281,Komentarz291,Grupa 1,Dzial 0,Alison Lyons,000008/000029/000281
000282,Komentarz870,Grupa 2,Dzial 3,Corey Mccormick ,000019/000083/000282
000283,Komentarz574,Grupa 1,Dzial 1,Luther Ramsey ,000011/000028/000283
000284,Komentarz461,Grupa 1,Dzial 3,Rex Casey ,000014/000073/000284
000285,Komentarz218,Grupa 0,Dzial 2,Nora Roberts,000019/000082/000285
000286,Komentarz682,Grupa 1,Dzial 3,Izydor Patryk,000018/000071/000286
000287,Komentarz810,Grupa 1,Dzial 0,Rogelio Tucker,000005/000038/000287
000288,Komentarz284,Grupa 1,Dzial 0,Rogelio Tucker,000009/000047/000288
000289,Komentarz737,Grupa 1,Dzial 3,Rex Casey ,000019/000082/000289
000290,Komentarz158,Grupa 0,Dzial 2,Nora Roberts,000006/000026/000290
000291,Komentarz89,Grupa 0,Dzial 2,Nora Roberts,000011/000077/000291
000292,Komentarz614,Grupa 1,Dzial 0,Elsie Alvarez,000025/000040/000292
000293,Komentarz765,Grupa 2,Dzial 2,Guy Moran ,000009/000032/000293
000294,Komentarz742,Grupa 0,Dzial 2,Noah Barnes ,000010/000037/000294
000295,Komentarz480,Grupa 1,Dzial 0,Rogelio Tucker,000020/000044/000295
000296,Komentarz798,Grupa 1,Dzial 3,Rex Casey ,000010/000075/000296
000297,Komentarz988,Grupa 0,Dzial 3,Dennis Kelley ,000017/000093/000297
000298,Komentarz72,Grupa 2,Dzial 3,Shawn Santos ,000005/000080/000298
000299,Komentarz980,Grupa 0,Dzial 2,Cora Moody ,000016/000099/000299
000300,Komentarz3,Grupa 1,Dzial 1,Orlando Delgado,000014/000073/000300
000301,Komentarz106,Grupa 0,Dzial 2,Allen Thompson,000002/000050/000301
000302,Komentarz617,Grupa 0,Dzial 2,Cora Moody ,000010/000037/000302
000303,Komentarz458,Grupa 2,Dzial 1,Marta Clarke,000009/000047/000303
000304,Komentarz385,Grupa 1,Dzial 2,Tanya Bridges ,000004/000053/000304
000305,Komentarz316,Grupa 1,Dzial 0,Elsie Alvarez,000019/000082/000305
000306,Komentarz229,Grupa 1,Dzial 1,Ernestine Mathis ,000019/000035/000306
000307,Komentarz830,Grupa 0,Dzial 3,Janie Grant,000002/000050/000307
000308,Komentarz37,Grupa 0,Dzial 2,Noah Barnes ,000011/000028/000308
000309,Komentarz488,Grupa 0,Dzial 2,Al Welch ,000004/000036/000309
000310,Komentarz322,Grupa 2,Dzial 0,Phil Briggs,000011/000096/000310
000311,Komentarz151,Grupa 0,Dzial 2,Irene Sandoval,000010/000075/000311
000312,Komentarz4,Grupa 2,Dzial 1,Roy Weaver ,000012/000074/000312
000313,Komentarz483,Grupa 0,Dzial 3,Dennis Kelley ,000011/000077/000313
000314,Komentarz885,Grupa 2,Dzial 1,Marta Clarke,000011/000054/000314
000315,Komentarz712,Grupa 0,Dzial 3,Paulette Mcdaniel ,000005/000030/000315
000316,Komentarz460,Grupa 1,Dzial 0,Elsie Alvarez,000010/000041/000316
000317,Komentarz488,Grupa 0,Dzial 1,Frederick Mclaughlin,000025/000059/000317
000318,Komentarz354,Grupa 1,Dzial 1,Ernestine Mathis ,000005/000038/000318
000319,Komentarz295,Grupa 2,Dzial 1,Ramiro Thompson,000010/000092/000319
000320,Komentarz720,Grupa 0,Dzial 2,Allen Thompson,000010/000075/000320
000321,Komentarz574,Grupa 0,Dzial 2,Nora Roberts,000011/000096/000321
000322,Komentarz167,Grupa 1,Dzial 3,Rex Casey ,000009/000085/000322
000323,Komentarz954,Grupa 2,Dzial 1,Roy Weaver ,000010/000075/000323
000324,Komentarz423,Grupa 2,Dzial 0,Phil Briggs,000002/000050/000324
000325,Komentarz402,Grupa 1,Dzial 1,Elizabeth Conner,000017/000093/000325
000326,Komentarz9,Grupa 2,Dzial 2,Christina Nguyen,000010/000075/000320/000326
000327,Komentarz884,Grupa 1,Dzial 1,Orlando Delgado,000014/000027/000116/000327
000328,Komentarz5,Grupa 0,Dzial 2,Cora Moody ,000004/000031/000155/000328
000329,Komentarz400,Grupa 1,Dzial 0,Rogelio Tucker,000020/000063/000160/000329
000330,Komentarz916,Grupa 2,Dzial 1,Marta Clarke,000008/000029/000281/000330
000331,Komentarz442,Grupa 0,Dzial 3,Janie Grant,000012/000074/000149/000331
000332,Komentarz719,Grupa 2,Dzial 1,Marta Clarke,000021/000079/000184/000332
000333,Komentarz317,Grupa 1,Dzial 1,Luther Ramsey ,000010/000034/000204/000333
000334,Komentarz62,Grupa 1,Dzial 1,Elizabeth Conner,000009/000085/000115/000334
000335,Komentarz395,Grupa 2,Dzial 3,Shawn Santos ,000019/000035/000118/000335
000336,Komentarz506,Grupa 0,Dzial 2,Jenna Dean,000010/000092/000319/000336
000337,Komentarz94,Grupa 1,Dzial 3,Rex Casey ,000013/000098/000150/000337
000338,Komentarz772,Grupa 0,Dzial 2,Allen Thompson,000013/000072/000229/000338
