Numer;Komentarz;Grupa;Dzial;Osoba;Sciezka
35;Komentarz844;Grupa 2;Dzial 0;Phil Briggs;19/35
36;Komentarz104;Grupa 0;Dzial 3;Lorraine Cortez ;4/36
37;Komentarz603;Grupa 1;Dzial 1;Ernestine Mathis ;10/37
38;Komentarz972;Grupa 1;Dzial 1;Elizabeth Conner;5/38
39;Komentarz954;Grupa 2;Dzial 1;Alan Underwood ;6/39
40;Komentarz631;Grupa 2;Dzial 2;Christina Nguyen;25/40
41;Komentarz97;Grupa 1;Dzial 0;Elsie Alvarez;10/41
42;Komentarz629;Grupa 0;Dzial 2;Jenna Dean;24/42
43;Komentarz252;Grupa 2;Dzial 2;Alberto Allison ;23/43
44;Komentarz43;Grupa 0;Dzial 3;Lorraine Cortez ;20/44
45;Komentarz518;Grupa 1;Dzial 1;Ernestine Mathis ;6/45
46;Komentarz853;Grupa 2;Dzial 2;Christina Nguyen;12/46
47;Komentarz281;Grupa 0;Dzial 3;Dennis Kelley ;9/47
48;Komentarz168;Grupa 1;Dzial 1;Elizabeth Conner;13/48
49;Komentarz503;Grupa 1;Dzial 0;Elsie Alvarez;22/49
50;Komentarz632;Grupa 1;Dzial 3;Izydor Patryk;2/50
51;Komentarz629;Grupa 0;Dzial 3;Jose Gilbert ;25/51
52;Komentarz3;Grupa 0;Dzial 3;Dennis Kelley ;21/52
53;Komentarz58;Grupa 0;Dzial 3;Naomi Shelton;4/53
54;Komentarz52;Grupa 0;Dzial 2;Allen Thompson;11/54
55;Komentarz716;Grupa 0;Dzial 2;Nora Roberts;16/55
56;Komentarz265;Grupa 2;Dzial 1;Marta Clarke;19/56
57;Komentarz947;Grupa 0;Dzial 2;Irene Sandoval;11/57
58;Komentarz470;Grupa 2;Dzial 1;Roy Weaver ;12/58
59;Komentarz276;Grupa 2;Dzial 2;Christina Nguyen;25/59
60;Komentarz264;Grupa 2;Dzial 1;Marta Clarke;14/60
61;Komentarz264;Grupa 1;Dzial 1;Luther Ramsey ;2/61
62;Komentarz762;Grupa 2;Dzial 1;Ramiro Thompson;8/62
63;Komentarz227;Grupa 1;Dzial 1;Orlando Delgado;20/63
64;Komentarz987;Grupa 1;Dzial 0;Rogelio Tucker;2/64
65;Komentarz749;Grupa 2;Dzial 1;Marta Clarke;19/65
66;Komentarz38;Grupa 1;Dzial 1;Ernestine Mathis ;13/66
67;Komentarz292;Grupa 2;Dzial 0;Cecelia Joseph;9/67
68;Komentarz977;Grupa 1;Dzial 1;Luther Ramsey ;9/68
69;Komentarz200;Grupa 2;Dzial 2;Christina Nguyen;20/69
70;Komentarz351;Grupa 0;Dzial 2;Al Welch ;12/70
71;Komentarz805;Grupa 1;Dzial 1;Elizabeth Conner;18/71
72;Komentarz574;Grupa 2;Dzial 3;Shawn Santos ;13/72
73;Komentarz484;Grupa 2;Dzial 1;Ramiro Thompson;14/73
74;Komentarz641;Grupa 1;Dzial 0;Alison Lyons;12/74
75;Komentarz795;Grupa 0;Dzial 2;Cora Moody ;10/75
76;Komentarz935;Grupa 1;Dzial 0;Alison Lyons;19/76
77;Komentarz721;Grupa 1;Dzial 3;Rex Casey ;11/77
78;Komentarz290;Grupa 2;Dzial 1;Ramiro Thompson;23/78
79;Komentarz931;Grupa 1;Dzial 1;Brett Swanson ;21/79
80;Komentarz905;Grupa 2;Dzial 2;Alberto Allison ;5/80
81;Komentarz521;Grupa 0;Dzial 3;Paulette Mcdaniel ;22/81
82;Komentarz990;Grupa 0;Dzial 2;Noah Barnes ;19/82
83;Komentarz697;Grupa 1;Dzial 1;Angelica Hale;19/83
84;Komentarz337;Grupa 0;Dzial 1;Frederick Mclaughlin;2/84
85;Komentarz707;Grupa 1;Dzial 0;Elsie Alvarez;9/85
86;Komentarz763;Grupa 2;Dzial 1;Alan Underwood ;18/86
87;Komentarz412;Grupa 0;Dzial 3;Naomi Shelton;20/87
88;Komentarz500;Grupa 1;Dzial 3;Rex Casey ;15/88
89;Komentarz252;Grupa 1;Dzial 1;Luther Ramsey ;19/89
90;Komentarz902;Grupa 0;Dzial 1;Frederick Mclaughlin;11/90
91;Komentarz167;Grupa 0;Dzial 1;Frederick Mclaughlin;24/91
92;Komentarz792;Grupa 1;Dzial 1;Angelica Hale;10/92
93;Komentarz528;Grupa 2;Dzial 2;Christina Nguyen;17/93
94;Komentarz524;Grupa 2;Dzial 1;Ramiro Thompson;22/94
95;Komentarz545;Grupa 0;Dzial 2;Nora Roberts;14/95
96;Komentarz520;Grupa 2;Dzial 2;Christina Nguyen;11/96
97;Komentarz788;Grupa 2;Dzial 0;Cecelia Joseph;18/97
98;Komentarz905;Grupa 0;Dzial 2;Noah Barnes ;13/98
99;Komentarz861;Grupa 0;Dzial 2;Allen Thompson;16/99
100;Komentarz315;Grupa 2;Dzial 3;Corey Mccormick ;16/100
101;Komentarz109;Grupa 0;Dzial 2;Allen Thompson;14/60/101
102;Komentarz34;Grupa 1;Dzial 3;Rex Casey ;22/49/102
103;Komentarz649;Grupa 1;Dzial 1;Luther Ramsey ;9/85/103
104;Komentarz69;Grupa 0;Dzial 2;Jenna Dean;9/85/104
105;Komentarz337;Grupa 1;Dzial 0;Rogelio Tucker;6/26/105
106;Komentarz94;Grupa 1;Dzial 1;Luther Ramsey ;4/53/106
107;Komentarz530;Grupa 2;Dzial 2;Guy Moran ;12/58/107
108;Komentarz27;Grupa 0;Dzial 3;Paulette Mcdaniel ;11/96/108
109;Komentarz637;Grupa 2;Dzial 1;Marta Clarke;2/61/109
110;Komentarz632;Grupa 1;Dzial 1;Angelica Hale;5/30/110
111;Komentarz69;Grupa 0;Dzial 2;Nora Roberts;1/33/111
112;Komentarz354;Grupa 2;Dzial 3;Shawn Santos ;6/39/112
113;Komentarz596;Grupa 1;Dzial 0;Rogelio Tucker;8/29/113
114;Komentarz45;Grupa 0;Dzial 3;Naomi Shelton;25/51/114
115;Komentarz647;Grupa 0;Dzial 2;Al Welch ;9/85/115
116;Komentarz224;Grupa 2;Dzial 2;Alberto Allison ;14/27/116
117;Komentarz86;Grupa 0;Dzial 3;Paulette Mcdaniel ;10/75/117
118;Komentarz60;Grupa 2;Dzial 1;Alan Underwood ;19/35/118
119;Komentarz709;Grupa 0;Dzial 3;Dennis Kelley ;10/34/119
120;Komentarz992;Grupa 2;Dzial 2;Alberto Allison ;5/80/120
121;Komentarz53;Grupa 1;Dzial 2;Tanya Bridges ;10/41/121
122;Komentarz440;Grupa 0;Dzial 2;Noah Barnes ;11/57/122
123;Komentarz243;Grupa 2;Dzial 1;Marta Clarke;25/59/123
124;Komentarz377;Grupa 2;Dzial 1;Diana Pierce ;9/85/124
125;Komentarz920;Grupa 1;Dzial 1;Elizabeth Conner;17/93/125
126;Komentarz702;Grupa 2;Dzial 2;Christina Nguyen;2/61/126
127;Komentarz960;Grupa 2;Dzial 2;Christina Nguyen;11/54/127
128;Komentarz238;Grupa 1;Dzial 3;Rex Casey ;18/71/128
129;Komentarz683;Grupa 2;Dzial 2;Guy Moran ;10/37/129
130;Komentarz596;Grupa 1;Dzial 0;Elsie Alvarez;10/41/130
131;Komentarz71;Grupa 0;Dzial 2;Nora Roberts;12/46/131
132;Komentarz294;Grupa 2;Dzial 0;Cecelia Joseph;14/95/132
133;Komentarz164;Grupa 1;Dzial 1;Ernestine Mathis ;14/60/133
134;Komentarz351;Grupa 0;Dzial 2;Bernard Ellis ;12/74/134
135;Komentarz471;Grupa 1;Dzial 1;Orlando Delgado;19/76/135
136;Komentarz293;Grupa 0;Dzial 3;Dennis Kelley ;11/77/136
137;Komentarz23;Grupa 0;Dzial 3;Janie Grant;9/47/137
138;Komentarz780;Grupa 1;Dzial 1;Elizabeth Conner;6/26/138
139;Komentarz211;Grupa 2;Dzial 0;Phil Briggs;22/81/139
140;Komentarz265;Grupa 2;Dzial 3;Corey Mccormick ;4/53/140
141;Komentarz866;Grupa 0;Dzial 3;Lorraine Cortez ;21/52/141
142;Komentarz671;Grupa 2;Dzial 1;Alan Underwood ;23/78/142
143;Komentarz449;Grupa 0;Dzial 2;Allen Thompson;5/80/143
144;Komentarz461;Grupa 0;Dzial 2;Cora Moody ;14/27/144
145;Komentarz97;Grupa 0;Dzial 3;Naomi Shelton;25/51/145
146;Komentarz358;Grupa 2;Dzial 3;Corey Mccormick ;20/63/146
147;Komentarz230;Grupa 1;Dzial 0;Elsie Alvarez;5/80/147
148;Komentarz375;Grupa 0;Dzial 2;Allen Thompson;9/68/148
149;Komentarz561;Grupa 1;Dzial 0;Alison Lyons;12/74/149
150;Komentarz269;Grupa 1;Dzial 3;Izydor Patryk;13/98/150
151;Komentarz127;Grupa 2;Dzial 1;Marta Clarke;11/54/151
152;Komentarz685;Grupa 0;Dzial 3;Jose Gilbert ;13/66/152
153;Komentarz256;Grupa 2;Dzial 0;Cecelia Joseph;22/94/153
154;Komentarz106;Grupa 1;Dzial 3;Izydor Patryk;5/30/154
155;Komentarz256;Grupa 1;Dzial 1;Orlando Delgado;4/31/155
156;Komentarz195;Grupa 0;Dzial 1;Frederick Mclaughlin;10/75/156
157;Komentarz578;Grupa 2;Dzial 0;Cecelia Joseph;13/66/157
158;Komentarz858;Grupa 2;Dzial 1;Marta Clarke;19/82/158
159;Komentarz224;Grupa 0;Dzial 2;Al Welch ;20/44/159
160;Komentarz86;Grupa 2;Dzial 1;Marta Clarke;20/63/160
161;Komentarz804;Grupa 2;Dzial 3;Shawn Santos ;13/72/161
162;Komentarz209;Grupa 1;Dzial 3;Rex Casey ;9/67/162
163;Komentarz138;Grupa 2;Dzial 3;Corey Mccormick ;13/66/163
164;Komentarz395;Grupa 0;Dzial 3;Jose Gilbert ;25/40/164
165;Komentarz36;Grupa 2;Dzial 3;Corey Mccormick ;9/47/165
166;Komentarz325;Grupa 2;Dzial 1;Diana Pierce ;20/63/166
167;Komentarz21;Grupa 2;Dzial 0;Cecelia Joseph;4/53/167
168;Komentarz191;Grupa 0;Dzial 2;Cora Moody ;17/93/168
169;Komentarz142;Grupa 0;Dzial 2;Jenna Dean;22/49/169
170;Komentarz259;Grupa 0;Dzial 2;Allen Thompson;21/52/170
171;Komentarz52;Grupa 0;Dzial 3;Naomi Shelton;11/90/171
172;Komentarz823;Grupa 0;Dzial 3;Jose Gilbert ;4/53/172
173;Komentarz544;Grupa 0;Dzial 3;Janie Grant;5/30/173
174;Komentarz967;Grupa 2;Dzial 0;Cecelia Joseph;2/61/174
175;Komentarz53;Grupa 0;Dzial 2;Nora Roberts;11/57/175
176;Komentarz633;Grupa 0;Dzial 2;Al Welch ;13/98/176
177;Komentarz622;Grupa 2;Dzial 2;Guy Moran ;21/79/177
178;Komentarz719;Grupa 0;Dzial 2;Nora Roberts;13/48/178
179;Komentarz429;Grupa 0;Dzial 2;Allen Thompson;8/29/179
180;Komentarz200;Grupa 2;Dzial 1;Marta Clarke;18/86/180
181;Komentarz501;Grupa 2;Dzial 2;Alberto Allison ;9/32/181
182;Komentarz183;Grupa 1;Dzial 0;Alison Lyons;19/35/182
183;Komentarz881;Grupa 1;Dzial 3;Izydor Patryk;25/51/183
184;Komentarz755;Grupa 2;Dzial 1;Marta Clarke;21/79/184
185;Komentarz691;Grupa 1;Dzial 3;Rex Casey ;14/60/185
186;Komentarz229;Grupa 0;Dzial 2;Nora Roberts;15/88/186
187;Komentarz190;Grupa 0;Dzial 2;Cora Moody ;14/95/187
188;Komentarz422;Grupa 0;Dzial 3;Dennis Kelley ;11/77/188
189;Komentarz868;Grupa 1;Dzial 0;Elsie Alvarez;5/80/189
190;Komentarz550;Grupa 0;Dzial 3;Jose Gilbert ;10/92/190
191;Komentarz857;Grupa 0;Dzial 3;Dennis Kelley ;5/30/191
192;Komentarz470;Grupa 0;Dzial 2;Irene Sandoval;19/65/192
193;Komentarz518;Grupa 2;Dzial 1;Ramiro Thompson;12/58/193
194;Komentarz303;Grupa 2;Dzial 1;Diana Pierce ;17/93/194
195;Komentarz583;Grupa 1;Dzial 1;Brett Swanson ;12/58/195
196;Komentarz256;Grupa 0;Dzial 3;Salvador Reese ;5/80/196
197;Komentarz789;Grupa 0;Dzial 2;Irene Sandoval;10/41/197
198;Komentarz52;Grupa 1;Dzial 3;Izydor Patryk;4/53/198
199;Komentarz52;Grupa 1;Dzial 0;Alison Lyons;18/71/199
200;Komentarz169;Grupa 0;Dzial 3;Jose Gilbert ;8/62/200
201;Komentarz830;Grupa 2;Dzial 1;Ramiro Thompson;14/60/201
202;Komentarz91;Grupa 1;Dzial 2;Tanya Bridges ;6/26/202
203;Komentarz343;Grupa 0;Dzial 2;Bernard Ellis ;18/71/203
204;Komentarz647;Grupa 2;Dzial 1;Diana Pierce ;10/34/204
205;Komentarz271;Grupa 1;Dzial 3;Rex Casey ;18/97/205
206;Komentarz312;Grupa 0;Dzial 2;Cora Moody ;22/94/206
207;Komentarz635;Grupa 2;Dzial 3;Shawn Santos ;20/87/207
208;Komentarz349;Grupa 1;Dzial 3;Izydor Patryk;4/31/208
209;Komentarz76;Grupa 0;Dzial 2;Al Welch ;2/64/209
210;Komentarz457;Grupa 2;Dzial 1;Marta Clarke;12/46/210
211;Komentarz998;Grupa 2;Dzial 2;Christina Nguyen;16/55/211
212;Komentarz642;Grupa 1;Dzial 2;Tanya Bridges ;2/84/212
213;Komentarz810;Grupa 1;Dzial 2;Tanya Bridges ;4/53/213
214;Komentarz363;Grupa 2;Dzial 1;Alan Underwood ;10/41/214
215;Komentarz493;Grupa 2;Dzial 3;Corey Mccormick ;9/85/215
216;Komentarz378;Grupa 0;Dzial 2;Allen Thompson;12/46/216
217;Komentarz31;Grupa 0;Dzial 3;Salvador Reese ;13/48/217
218;Komentarz602;Grupa 1;Dzial 1;Ernestine Mathis ;9/32/218
219;Komentarz565;Grupa 2;Dzial 3;Shawn Santos ;15/88/219
220;Komentarz2;Grupa 1;Dzial 3;Rex Casey ;14/95/220
221;Komentarz392;Grupa 1;Dzial 3;Izydor Patryk;19/83/221
222;Komentarz340;Grupa 2;Dzial 1;Alan Underwood ;20/69/222
223;Komentarz75;Grupa 1;Dzial 1;Angelica Hale;14/73/223
224;Komentarz103;Grupa 0;Dzial 3;Salvador Reese ;20/87/224
225;Komentarz960;Grupa 0;Dzial 2;Jenna Dean;24/91/225
226;Komentarz901;Grupa 2;Dzial 0;Cecelia Joseph;10/75/226
227;Komentarz388;Grupa 2;Dzial 3;Shawn Santos ;11/96/227
228;Komentarz590;Grupa 0;Dzial 3;Dennis Kelley ;20/63/228
229;Komentarz94;Grupa 1;Dzial 1;Orlando Delgado;13/72/229
230;Komentarz324;Grupa 2;Dzial 2;Guy Moran ;24/91/230
231;Komentarz317;Grupa 2;Dzial 2;Alberto Allison ;22/49/231
232;Komentarz941;Grupa 2;Dzial 0;Cecelia Joseph;12/70/232
233;Komentarz455;Grupa 0;Dzial 2;Noah Barnes ;10/34/233
234;Komentarz603;Grupa 1;Dzial 1;Angelica Hale;9/68/234
235;Komentarz298;Grupa 1;Dzial 1;Brett Swanson ;15/88/235
236;Komentarz911;Grupa 0;Dzial 3;Naomi Shelton;5/80/236
237;Komentarz951;Grupa 0;Dzial 2;Jenna Dean;12/58/237
238;Komentarz802;Grupa 1;Dzial 1;Brett Swanson ;18/71/238
239;Komentarz946;Grupa 2;Dzial 1;Roy Weaver ;18/97/239
240;Komentarz251;Grupa 1;Dzial 1;Ernestine Mathis ;8/62/240
241;Komentarz291;Grupa 0;Dzial 3;Naomi Shelton;8/29/241
242;Komentarz132;Grupa 0;Dzial 2;Bernard Ellis ;16/100/242
243;Komentarz920;Grupa 0;Dzial 3;Dennis Kelley ;11/77/243
244;Komentarz645;Grupa 2;Dzial 1;Diana Pierce ;9/68/244
245;Komentarz321;Grupa 2;Dzial 1;Ramiro Thompson;19/83/245
246;Komentarz367;Grupa 1;Dzial 1;Luther Ramsey ;13/72/246
247;Komentarz714;Grupa 0;Dzial 2;Cora Moody ;11/77/247
248;Komentarz266;Grupa 0;Dzial 2;Irene Sandoval;2/61/248
249;Komentarz109;Grupa 0;Dzial 2;Noah Barnes ;22/81/249
250;Komentarz551;Grupa 0;Dzial 2;Jenna Dean;12/70/250
251;Komentarz365;Grupa 1;Dzial 0;Rogelio Tucker;19/65/251
252;Komentarz879;Grupa 0;Dzial 2;Allen Thompson;19/65/252
253;Komentarz52;Grupa 2;Dzial 0;Cecelia Joseph;6/26/253
254;Komentarz18;Grupa 0;Dzial 2;Jenna Dean;24/42/254
255;Komentarz398;Grupa 0;Dzial 3;Lorraine Cortez ;23/78/255
256;Komentarz393;Grupa 0;Dzial 2;Bernard Ellis ;4/53/256
257;Komentarz500;Grupa 0;Dzial 2;Al Welch ;19/35/257
258;Komentarz333;Grupa 2;Dzial 0;Phil Briggs;19/65/258
259;Komentarz306;Grupa 1;Dzial 2;Tanya Bridges ;21/79/259
260;Komentarz805;Grupa 0;Dzial 2;Bernard Ellis ;14/73/260
261;Komentarz553;Grupa 0;Dzial 2;Allen Thompson;9/85/261
262;Komentarz700;Grupa 2;Dzial 0;Cecelia Joseph;12/70/262
263;Komentarz30;Grupa 0;Dzial 3;Naomi Shelton;24/42/263
264;Komentarz913;Grupa 1;Dzial 1;Orlando Delgado;21/52/264
265;Komentarz385;Grupa 0;Dzial 2;Al Welch ;12/58/265
266;Komentarz821;Grupa 1;Dzial 3;Rex Casey ;12/74/266
267;Komentarz439;Grupa 2;Dzial 1;Diana Pierce ;25/51/267
268;Komentarz561;Grupa 0;Dzial 2;Cora Moody ;25/40/268
269;Komentarz184;Grupa 0;Dzial 3;Lorraine Cortez ;19/83/269
270;Komentarz461;Grupa 2;Dzial 1;Ramiro Thompson;10/37/270
271;Komentarz969;Grupa 0;Dzial 2;Allen Thompson;12/58/271
272;Komentarz281;Grupa 1;Dzial 3;Izydor Patryk;5/38/272
273;Komentarz171;Grupa 1;Dzial 1;Brett Swanson ;10/75/273
274;Komentarz536;Grupa 1;Dzial 0;Elsie Alvarez;4/31/274
275;Komentarz947;Grupa 2;Dzial 3;Shawn Santos ;19/82/275
276;Komentarz384;Grupa 0;Dzial 3;Paulette Mcdaniel ;13/48/276
277;Komentarz936;Grupa 0;Dzial 3;Janie Grant;9/68/277
278;Komentarz756;Grupa 0;Dzial 3;Naomi Shelton;13/98/278
279;Komentarz760;Grupa 1;Dzial 1;Brett Swanson ;14/73/279
280;Komentarz826;Grupa 2;Dzial 2;Christina Nguyen;25/40/280
281;Komentarz291;Grupa 1;Dzial 0;Alison Lyons;8/29/281
282;Komentarz870;Grupa 2;Dzial 3;Corey Mccormick ;19/83/282
283;Komentarz574;Grupa 1;Dzial 1;Luther Ramsey ;11/28/283
284;Komentarz461;Grupa 1;Dzial 3;Rex Casey ;14/73/284
285;Komentarz218;Grupa 0;Dzial 2;Nora Roberts;19/82/285
286;Komentarz682;Grupa 1;Dzial 3;Izydor Patryk;18/71/286
287;Komentarz810;Grupa 1;Dzial 0;Rogelio Tucker;5/38/287
288;Komentarz284;Grupa 1;Dzial 0;Rogelio Tucker;9/47/288
289;Komentarz737;Grupa 1;Dzial 3;Rex Casey ;19/82/289
290;Komentarz158;Grupa 0;Dzial 2;Nora Roberts;6/26/290
291;Komentarz89;Grupa 0;Dzial 2;Nora Roberts;11/77/291
292;Komentarz614;Grupa 1;Dzial 0;Elsie Alvarez;25/40/292
293;Komentarz765;Grupa 2;Dzial 2;Guy Moran ;9/32/293
294;Komentarz742;Grupa 0;Dzial 2;Noah Barnes ;10/37/294
295;Komentarz480;Grupa 1;Dzial 0;Rogelio Tucker;20/44/295
296;Komentarz798;Grupa 1;Dzial 3;Rex Casey ;10/75/296
297;Komentarz988;Grupa 0;Dzial 3;Dennis Kelley ;17/93/297
298;Komentarz72;Grupa 2;Dzial 3;Shawn Santos ;5/80/298
299;Komentarz980;Grupa 0;Dzial 2;Cora Moody ;16/99/299
300;Komentarz3;Grupa 1;Dzial 1;Orlando Delgado;14/73/300
301;Komentarz106;Grupa 0;Dzial 2;Allen Thompson;2/50/301
302;Komentarz617;Grupa 0;Dzial 2;Cora Moody ;10/37/302
303;Komentarz458;Grupa 2;Dzial 1;Marta Clarke;9/47/303
304;Komentarz385;Grupa 1;Dzial 2;Tanya Bridges ;4/53/304
305;Komentarz316;Grupa 1;Dzial 0;Elsie Alvarez;19/82/305
306;Komentarz229;Grupa 1;Dzial 1;Ernestine Mathis ;19/35/306
307;Komentarz830;Grupa 0;Dzial 3;Janie Grant;2/50/307
308;Komentarz37;Grupa 0;Dzial 2;Noah Barnes ;11/28/308
309;Komentarz488;Grupa 0;Dzial 2;Al Welch ;4/36/309
310;Komentarz322;Grupa 2;Dzial 0;Phil Briggs;11/96/310
311;Komentarz151;Grupa 0;Dzial 2;Irene Sandoval;10/75/311
312;Komentarz4;Grupa 2;Dzial 1;Roy Weaver ;12/74/312
313;Komentarz483;Grupa 0;Dzial 3;Dennis Kelley ;11/77/313
314;Komentarz885;Grupa 2;Dzial 1;Marta Clarke;11/54/314
315;Komentarz712;Grupa 0;Dzial 3;Paulette Mcdaniel ;5/30/315
316;Komentarz460;Grupa 1;Dzial 0;Elsie Alvarez;10/41/316
317;Komentarz488;Grupa 0;Dzial 1;Frederick Mclaughlin;25/59/317
318;Komentarz354;Grupa 1;Dzial 1;Ernestine Mathis ;5/38/318
319;Komentarz295;Grupa 2;Dzial 1;Ramiro Thompson;10/92/319
320;Komentarz720;Grupa 0;Dzial 2;Allen Thompson;10/75/320
321;Komentarz574;Grupa 0;Dzial 2;Nora Roberts;11/96/321
322;Komentarz167;Grupa 1;Dzial 3;Rex Casey ;9/85/322
323;Komentarz954;Grupa 2;Dzial 1;Roy Weaver ;10/75/323
324;Komentarz423;Grupa 2;Dzial 0;Phil Briggs;2/50/324
325;Komentarz402;Grupa 1;Dzial 1;Elizabeth Conner;17/93/325
326;Komentarz9;Grupa 2;Dzial 2;Christina Nguyen;10/75/320/326
327;Komentarz884;Grupa 1;Dzial 1;Orlando Delgado;14/27/116/327
328;Komentarz5;Grupa 0;Dzial 2;Cora Moody ;4/31/155/328
329;Komentarz400;Grupa 1;Dzial 0;Rogelio Tucker;20/63/160/329
330;Komentarz916;Grupa 2;Dzial 1;Marta Clarke;8/29/281/330
331;Komentarz442;Grupa 0;Dzial 3;Janie Grant;12/74/149/331
332;Komentarz719;Grupa 2;Dzial 1;Marta Clarke;21/79/184/332
333;Komentarz317;Grupa 1;Dzial 1;Luther Ramsey ;10/34/204/333
334;Komentarz62;Grupa 1;Dzial 1;Elizabeth Conner;9/85/115/334
335;Komentarz395;Grupa 2;Dzial 3;Shawn Santos ;19/35/118/335
336;Komentarz506;Grupa 0;Dzial 2;Jenna Dean;10/92/319/336
337;Komentarz94;Grupa 1;Dzial 3;Rex Casey ;13/98/150/337
338;Komentarz772;Grupa 0;Dzial 2;Allen Thompson;13/72/229/338
339;Komentarz323;Grupa 0;Dzial 1;Frederick Mclaughlin;4/31/274/339
340;Komentarz547;Grupa 2;Dzial 1;Ramiro Thompson;20/63/160/340
341;Komentarz882;Grupa 1;Dzial 2;Tanya Bridges ;9/47/165/341
342;Komentarz162;Grupa 2;Dzial 2;Christina Nguyen;9/85/103/342
343;Komentarz871;Grupa 1;Dzial 0;Alison Lyons;6/26/138/343
344;Komentarz975;Grupa 0;Dzial 3;Jose Gilbert ;11/77/243/344
345;Komentarz283;Grupa 2;Dzial 2;Alberto Allison ;19/83/245/345
346;Komentarz622;Grupa 2;Dzial 1;Roy Weaver ;10/34/233/346
347;Komentarz995;Grupa 1;Dzial 2;Tanya Bridges ;14/60/133/347
348;Komentarz284;Grupa 2;Dzial 1;Marta Clarke;14/73/279/348
349;Komentarz232;Grupa 1;Dzial 1;Luther Ramsey ;21/52/264/349
350;Komentarz596;Grupa 2;Dzial 1;Roy Weaver ;19/76/135/350
351;Komentarz141;Grupa 2;Dzial 1;Marta Clarke;9/32/293/351
352;Komentarz109;Grupa 1;Dzial 2;Tanya Bridges ;10/41/214/352
353;Komentarz845;Grupa 2;Dzial 1;Diana Pierce ;11/77/247/353
354;Komentarz458;Grupa 1;Dzial 3;Rex Casey ;5/38/272/354
355;Komentarz187;Grupa 1;Dzial 1;Elizabeth Conner;12/46/210/355
356;Komentarz177;Grupa 0;Dzial 2;Irene Sandoval;851968/16/100/356
357;Komentarz528;Grupa 0;Dzial 3;Salvador Reese ;18/97/205/357
358;Komentarz61;Grupa 2;Dzial 1;Alan Underwood ;13/66/157/358
359;Komentarz992;Grupa 1;Dzial 0;Elsie Alvarez;9/47/165/359
360;Komentarz476;Grupa 1;Dzial 3;Izydor Patryk;11/77/291/360
361;Komentarz989;Grupa 1;Dzial 0;Alison Lyons;18/97/205/361
362;Komentarz145;Grupa 0;Dzial 3;Dennis Kelley ;10/75/117/362
363;Komentarz810;Grupa 0;Dzial 2;Nora Roberts;12/70/250/363
364;Komentarz347;Grupa 0;Dzial 1;Frederick Mclaughlin;10/37/302/364
365;Komentarz953;Grupa 0;Dzial 2;Allen Thompson;19/82/275/365
366;Komentarz124;Grupa 1;Dzial 1;Elizabeth Conner;15/88/235/366
367;Komentarz302;Grupa 0;Dzial 2;Bernard Ellis ;1/33/111/367
368;Komentarz51;Grupa 0;Dzial 2;Allen Thompson;21/52/264/368
369;Komentarz410;Grupa 0;Dzial 2;Irene Sandoval;4/53/140/369
