Numer;Komentarz;Grupa;Dzial;Osoba;Odpowiedz na
67;Komentarz458;Grupa 2;Dzial 0;Cecelia Joseph;9
68;Komentarz830;Grupa 1;Dzial 1;Luther Ramsey ;9
69;Komentarz34;Grupa 2;Dzial 2;Christina Nguyen;20
70;Komentarz741;Grupa 0;Dzial 2;Al Welch ;12
71;Komentarz954;Grupa 1;Dzial 1;Elizabeth Conner;18
72;Komentarz21;Grupa 2;Dzial 3;Shawn Santos ;13
73;Komentarz0;Grupa 2;Dzial 1;Ramiro Thompson;14
74;Komentarz454;Grupa 1;Dzial 0;Alison Lyons;12
75;Komentarz566;Grupa 0;Dzial 2;Cora Moody ;10
76;Komentarz441;Grupa 1;Dzial 0;Alison Lyons;19
77;Komentarz679;Grupa 1;Dzial 3;Rex Casey ;11
78;Komentarz39;Grupa 2;Dzial 1;Ramiro Thompson;23
79;Komentarz350;Grupa 1;Dzial 1;Brett Swanson ;21
80;Komentarz930;Grupa 2;Dzial 2;Alberto Allison ;5
81;Komentarz15;Grupa 0;Dzial 3;Paulette Mcdaniel ;22
82;Komentarz185;Grupa 0;Dzial 2;Noah Barnes ;19
83;Komentarz932;Grupa 1;Dzial 1;Angelica Hale;19
84;Komentarz201;Grupa 0;Dzial 1;Frederick Mclaughlin;2
85;Komentarz961;Grupa 1;Dzial 0;Elsie Alvarez;9
86;Komentarz342;Grupa 2;Dzial 1;Alan Underwood ;18
87;Komentarz152;Grupa 0;Dzial 3;Naomi Shelton;20
88;Komentarz310;Grupa 1;Dzial 3;Rex Casey ;15
89;Komentarz110;Grupa 1;Dzial 1;Luther Ramsey ;19
90;Komentarz511;Grupa 0;Dzial 1;Frederick Mclaughlin;11
91;Komentarz76;Grupa 0;Dzial 1;Frederick Mclaughlin;24
92;Komentarz612;Grupa 1;Dzial 1;Angelica Hale;10
93;Komentarz488;Grupa 2;Dzial 2;Christina Nguyen;17
94;Komentarz108;Grupa 2;Dzial 1;Ramiro Thompson;22
95;Komentarz481;Grupa 0;Dzial 2;Nora Roberts;14
96;Komentarz994;Grupa 2;Dzial 2;Christina Nguyen;11
97;Komentarz414;Grupa 2;Dzial 0;Cecelia Joseph;18
98;Komentarz830;Grupa 0;Dzial 2;Noah Barnes ;13
99;Komentarz256;Grupa 0;Dzial 2;Allen Thompson;16
100;Komentarz603;Grupa 2;Dzial 3;Corey Mccormick ;16
101;Komentarz603;Grupa 0;Dzial 2;Allen Thompson;60
102;Komentarz679;Grupa 1;Dzial 3;Rex Casey ;49
103;Komentarz729;Grupa 1;Dzial 1;Luther Ramsey ;85
104;Komentarz470;Grupa 0;Dzial 2;Jenna Dean;85
105;Komentarz255;Grupa 1;Dzial 0;Rogelio Tucker;26
106;Komentarz663;Grupa 1;Dzial 1;Luther Ramsey ;53
107;Komentarz462;Grupa 2;Dzial 2;Guy Moran ;58
108;Komentarz150;Grupa 0;Dzial 3;Paulette Mcdaniel ;96
109;Komentarz388;Grupa 2;Dzial 1;Marta Clarke;61
110;Komentarz520;Grupa 1;Dzial 1;Angelica Hale;30
111;Komentarz720;Grupa 0;Dzial 2;Nora Roberts;33
112;Komentarz274;Grupa 2;Dzial 3;Shawn Santos ;39
113;Komentarz697;Grupa 1;Dzial 0;Rogelio Tucker;29
114;Komentarz650;Grupa 0;Dzial 3;Naomi Shelton;51
115;Komentarz424;Grupa 0;Dzial 2;Al Welch ;85
116;Komentarz420;Grupa 2;Dzial 2;Alberto Allison ;27
117;Komentarz657;Grupa 0;Dzial 3;Paulette Mcdaniel ;75
118;Komentarz911;Grupa 2;Dzial 1;Alan Underwood ;35
119;Komentarz86;Grupa 0;Dzial 3;Dennis Kelley ;34
120;Komentarz134;Grupa 2;Dzial 2;Alberto Allison ;80
121;Komentarz76;Grupa 1;Dzial 2;Tanya Bridges ;41
122;Komentarz783;Grupa 0;Dzial 2;Noah Barnes ;57
123;Komentarz372;Grupa 2;Dzial 1;Marta Clarke;59
124;Komentarz631;Grupa 2;Dzial 1;Diana Pierce ;85
125;Komentarz731;Grupa 1;Dzial 1;Elizabeth Conner;93
126;Komentarz324;Grupa 2;Dzial 2;Christina Nguyen;61
127;Komentarz658;Grupa 2;Dzial 2;Christina Nguyen;54
128;Komentarz825;Grupa 1;Dzial 3;Rex Casey ;71
129;Komentarz695;Grupa 2;Dzial 2;Guy Moran ;37
130;Komentarz174;Grupa 1;Dzial 0;Elsie Alvarez;41
131;Komentarz507;Grupa 0;Dzial 2;Nora Roberts;46
132;Komentarz421;Grupa 2;Dzial 0;Cecelia Joseph;95
133;Komentarz666;Grupa 1;Dzial 1;Ernestine Mathis ;60
134;Komentarz278;Grupa 0;Dzial 2;Bernard Ellis ;74
135;Komentarz542;Grupa 1;Dzial 1;Orlando Delgado;76
136;Komentarz12;Grupa 0;Dzial 3;Dennis Kelley ;77
137;Komentarz363;Grupa 0;Dzial 3;Janie Grant;47
138;Komentarz54;Grupa 1;Dzial 1;Elizabeth Conner;26
139;Komentarz532;Grupa 2;Dzial 0;Phil Briggs;81
140;Komentarz247;Grupa 2;Dzial 3;Corey Mccormick ;53
141;Komentarz789;Grupa 0;Dzial 3;Lorraine Cortez ;52
142;Komentarz950;Grupa 2;Dzial 1;Alan Underwood ;78
143;Komentarz808;Grupa 0;Dzial 2;Allen Thompson;80
144;Komentarz783;Grupa 0;Dzial 2;Cora Moody ;27
145;Komentarz624;Grupa 0;Dzial 3;Naomi Shelton;51
146;Komentarz544;Grupa 2;Dzial 3;Corey Mccormick ;63
147;Komentarz193;Grupa 1;Dzial 0;Elsie Alvarez;80
148;Komentarz989;Grupa 0;Dzial 2;Allen Thompson;68
149;Komentarz862;Grupa 1;Dzial 0;Alison Lyons;74
150;Komentarz637;Grupa 1;Dzial 3;Izydor Patryk;98
151;Komentarz33;Grupa 2;Dzial 1;Marta Clarke;54
152;Komentarz738;Grupa 0;Dzial 3;Jose Gilbert ;66
153;Komentarz294;Grupa 2;Dzial 0;Cecelia Joseph;94
154;Komentarz348;Grupa 1;Dzial 3;Izydor Patryk;30
155;Komentarz896;Grupa 1;Dzial 1;Orlando Delgado;31
156;Komentarz575;Grupa 0;Dzial 1;Frederick Mclaughlin;75
157;Komentarz683;Grupa 2;Dzial 0;Cecelia Joseph;66
158;Komentarz216;Grupa 2;Dzial 1;Marta Clarke;82
159;Komentarz528;Grupa 0;Dzial 2;Al Welch ;44
160;Komentarz205;Grupa 2;Dzial 1;Marta Clarke;63
161;Komentarz621;Grupa 2;Dzial 3;Shawn Santos ;72
162;Komentarz58;Grupa 1;Dzial 3;Rex Casey ;67
163;Komentarz90;Grupa 2;Dzial 3;Corey Mccormick ;66
164;Komentarz124;Grupa 0;Dzial 3;Jose Gilbert ;40
165;Komentarz789;Grupa 2;Dzial 3;Corey Mccormick ;47
166;Komentarz994;Grupa 2;Dzial 1;Diana Pierce ;63
167;Komentarz111;Grupa 2;Dzial 0;Cecelia Joseph;53
168;Komentarz791;Grupa 0;Dzial 2;Cora Moody ;93
169;Komentarz124;Grupa 0;Dzial 2;Jenna Dean;49
170;Komentarz618;Grupa 0;Dzial 2;Allen Thompson;52
171;Komentarz191;Grupa 0;Dzial 3;Naomi Shelton;90
172;Komentarz574;Grupa 0;Dzial 3;Jose Gilbert ;53
173;Komentarz684;Grupa 0;Dzial 3;Janie Grant;30
174;Komentarz322;Grupa 2;Dzial 0;Cecelia Joseph;61
175;Komentarz564;Grupa 0;Dzial 2;Nora Roberts;57
176;Komentarz761;Grupa 0;Dzial 2;Al Welch ;98
177;Komentarz365;Grupa 2;Dzial 2;Guy Moran ;79
178;Komentarz859;Grupa 0;Dzial 2;Nora Roberts;48
179;Komentarz887;Grupa 0;Dzial 2;Allen Thompson;29
180;Komentarz747;Grupa 2;Dzial 1;Marta Clarke;86
181;Komentarz144;Grupa 2;Dzial 2;Alberto Allison ;32
182;Komentarz207;Grupa 1;Dzial 0;Alison Lyons;35
183;Komentarz176;Grupa 1;Dzial 3;Izydor Patryk;51
184;Komentarz499;Grupa 2;Dzial 1;Marta Clarke;79
185;Komentarz566;Grupa 1;Dzial 3;Rex Casey ;60
186;Komentarz198;Grupa 0;Dzial 2;Nora Roberts;88
187;Komentarz833;Grupa 0;Dzial 2;Cora Moody ;95
188;Komentarz820;Grupa 0;Dzial 3;Dennis Kelley ;77
189;Komentarz912;Grupa 1;Dzial 0;Elsie Alvarez;80
190;Komentarz546;Grupa 0;Dzial 3;Jose Gilbert ;92
191;Komentarz507;Grupa 0;Dzial 3;Dennis Kelley ;30
192;Komentarz509;Grupa 0;Dzial 2;Irene Sandoval;65
193;Komentarz224;Grupa 2;Dzial 1;Ramiro Thompson;58
194;Komentarz476;Grupa 2;Dzial 1;Diana Pierce ;93
195;Komentarz191;Grupa 1;Dzial 1;Brett Swanson ;58
196;Komentarz857;Grupa 0;Dzial 3;Salvador Reese ;80
197;Komentarz237;Grupa 0;Dzial 2;Irene Sandoval;41
198;Komentarz51;Grupa 1;Dzial 3;Izydor Patryk;53
199;Komentarz317;Grupa 1;Dzial 0;Alison Lyons;71
200;Komentarz879;Grupa 0;Dzial 3;Jose Gilbert ;62
201;Komentarz106;Grupa 2;Dzial 1;Ramiro Thompson;60
202;Komentarz578;Grupa 1;Dzial 2;Tanya Bridges ;26
203;Komentarz855;Grupa 0;Dzial 2;Bernard Ellis ;71
204;Komentarz273;Grupa 2;Dzial 1;Diana Pierce ;34
205;Komentarz872;Grupa 1;Dzial 3;Rex Casey ;97
206;Komentarz858;Grupa 0;Dzial 2;Cora Moody ;94
207;Komentarz870;Grupa 2;Dzial 3;Shawn Santos ;87
208;Komentarz584;Grupa 1;Dzial 3;Izydor Patryk;31
209;Komentarz182;Grupa 0;Dzial 2;Al Welch ;64
210;Komentarz819;Grupa 2;Dzial 1;Marta Clarke;46
211;Komentarz690;Grupa 2;Dzial 2;Christina Nguyen;55
212;Komentarz838;Grupa 1;Dzial 2;Tanya Bridges ;84
213;Komentarz767;Grupa 1;Dzial 2;Tanya Bridges ;53
214;Komentarz151;Grupa 2;Dzial 1;Alan Underwood ;41
215;Komentarz933;Grupa 2;Dzial 3;Corey Mccormick ;85
216;Komentarz258;Grupa 0;Dzial 2;Allen Thompson;46
217;Komentarz690;Grupa 0;Dzial 3;Salvador Reese ;48
218;Komentarz326;Grupa 1;Dzial 1;Ernestine Mathis ;32
219;Komentarz368;Grupa 2;Dzial 3;Shawn Santos ;88
220;Komentarz974;Grupa 1;Dzial 3;Rex Casey ;95
221;Komentarz682;Grupa 1;Dzial 3;Izydor Patryk;83
222;Komentarz537;Grupa 2;Dzial 1;Alan Underwood ;69
223;Komentarz11;Grupa 1;Dzial 1;Angelica Hale;73
224;Komentarz579;Grupa 0;Dzial 3;Salvador Reese ;87
225;Komentarz839;Grupa 0;Dzial 2;Jenna Dean;91
226;Komentarz650;Grupa 2;Dzial 0;Cecelia Joseph;75
227;Komentarz992;Grupa 2;Dzial 3;Shawn Santos ;96
228;Komentarz458;Grupa 0;Dzial 3;Dennis Kelley ;63
229;Komentarz579;Grupa 1;Dzial 1;Orlando Delgado;72
230;Komentarz209;Grupa 2;Dzial 2;Guy Moran ;91
231;Komentarz344;Grupa 2;Dzial 2;Alberto Allison ;49
232;Komentarz884;Grupa 2;Dzial 0;Cecelia Joseph;70
233;Komentarz341;Grupa 0;Dzial 2;Noah Barnes ;34
234;Komentarz928;Grupa 1;Dzial 1;Angelica Hale;68
235;Komentarz172;Grupa 1;Dzial 1;Brett Swanson ;88
236;Komentarz650;Grupa 0;Dzial 3;Naomi Shelton;80
237;Komentarz384;Grupa 0;Dzial 2;Jenna Dean;58
238;Komentarz15;Grupa 1;Dzial 1;Brett Swanson ;71
239;Komentarz676;Grupa 2;Dzial 1;Roy Weaver ;97
240;Komentarz628;Grupa 1;Dzial 1;Ernestine Mathis ;62
241;Komentarz644;Grupa 0;Dzial 3;Naomi Shelton;29
242;Komentarz648;Grupa 0;Dzial 2;Bernard Ellis ;100
243;Komentarz18;Grupa 0;Dzial 3;Dennis Kelley ;77
244;Komentarz333;Grupa 2;Dzial 1;Diana Pierce ;68
245;Komentarz66;Grupa 2;Dzial 1;Ramiro Thompson;83
246;Komentarz155;Grupa 1;Dzial 1;Luther Ramsey ;72
247;Komentarz719;Grupa 0;Dzial 2;Cora Moody ;77
248;Komentarz621;Grupa 0;Dzial 2;Irene Sandoval;61
249;Komentarz468;Grupa 0;Dzial 2;Noah Barnes ;81
250;Komentarz954;Grupa 0;Dzial 2;Jenna Dean;70
251;Komentarz147;Grupa 1;Dzial 0;Rogelio Tucker;65
252;Komentarz877;Grupa 0;Dzial 2;Allen Thompson;65
253;Komentarz329;Grupa 2;Dzial 0;Cecelia Joseph;26
254;Komentarz645;Grupa 0;Dzial 2;Jenna Dean;42
255;Komentarz456;Grupa 0;Dzial 3;Lorraine Cortez ;78
256;Komentarz21;Grupa 0;Dzial 2;Bernard Ellis ;53
257;Komentarz964;Grupa 0;Dzial 2;Al Welch ;35
258;Komentarz573;Grupa 2;Dzial 0;Phil Briggs;65
259;Komentarz143;Grupa 1;Dzial 2;Tanya Bridges ;79
260;Komentarz768;Grupa 0;Dzial 2;Bernard Ellis ;73
261;Komentarz77;Grupa 0;Dzial 2;Allen Thompson;85
262;Komentarz692;Grupa 2;Dzial 0;Cecelia Joseph;70
263;Komentarz608;Grupa 0;Dzial 3;Naomi Shelton;42
264;Komentarz182;Grupa 1;Dzial 1;Orlando Delgado;52
265;Komentarz93;Grupa 0;Dzial 2;Al Welch ;58
266;Komentarz123;Grupa 1;Dzial 3;Rex Casey ;74
267;Komentarz326;Grupa 2;Dzial 1;Diana Pierce ;51
268;Komentarz847;Grupa 0;Dzial 2;Cora Moody ;40
269;Komentarz22;Grupa 0;Dzial 3;Lorraine Cortez ;83
270;Komentarz322;Grupa 2;Dzial 1;Ramiro Thompson;37
271;Komentarz632;Grupa 0;Dzial 2;Allen Thompson;58
272;Komentarz966;Grupa 1;Dzial 3;Izydor Patryk;38
273;Komentarz784;Grupa 1;Dzial 1;Brett Swanson ;75
274;Komentarz338;Grupa 1;Dzial 0;Elsie Alvarez;31
275;Komentarz287;Grupa 2;Dzial 3;Shawn Santos ;82
276;Komentarz610;Grupa 0;Dzial 3;Paulette Mcdaniel ;48
277;Komentarz307;Grupa 0;Dzial 3;Janie Grant;68
278;Komentarz213;Grupa 0;Dzial 3;Naomi Shelton;98
279;Komentarz949;Grupa 1;Dzial 1;Brett Swanson ;73
280;Komentarz429;Grupa 2;Dzial 2;Christina Nguyen;40
281;Komentarz162;Grupa 1;Dzial 0;Alison Lyons;29
282;Komentarz539;Grupa 2;Dzial 3;Corey Mccormick ;83
283;Komentarz355;Grupa 1;Dzial 1;Luther Ramsey ;28
284;Komentarz137;Grupa 1;Dzial 3;Rex Casey ;73
285;Komentarz350;Grupa 0;Dzial 2;Nora Roberts;82
286;Komentarz630;Grupa 1;Dzial 3;Izydor Patryk;71
287;Komentarz26;Grupa 1;Dzial 0;Rogelio Tucker;38
288;Komentarz213;Grupa 1;Dzial 0;Rogelio Tucker;47
289;Komentarz166;Grupa 1;Dzial 3;Rex Casey ;82
290;Komentarz470;Grupa 0;Dzial 2;Nora Roberts;26
291;Komentarz59;Grupa 0;Dzial 2;Nora Roberts;77
292;Komentarz395;Grupa 1;Dzial 0;Elsie Alvarez;40
293;Komentarz69;Grupa 2;Dzial 2;Guy Moran ;32
294;Komentarz956;Grupa 0;Dzial 2;Noah Barnes ;37
295;Komentarz526;Grupa 1;Dzial 0;Rogelio Tucker;44
296;Komentarz844;Grupa 1;Dzial 3;Rex Casey ;75
297;Komentarz699;Grupa 0;Dzial 3;Dennis Kelley ;93
298;Komentarz923;Grupa 2;Dzial 3;Shawn Santos ;80
299;Komentarz732;Grupa 0;Dzial 2;Cora Moody ;99
300;Komentarz706;Grupa 1;Dzial 1;Orlando Delgado;73
301;Komentarz585;Grupa 0;Dzial 2;Allen Thompson;50
302;Komentarz233;Grupa 0;Dzial 2;Cora Moody ;37
303;Komentarz152;Grupa 2;Dzial 1;Marta Clarke;47
304;Komentarz204;Grupa 1;Dzial 2;Tanya Bridges ;53
305;Komentarz632;Grupa 1;Dzial 0;Elsie Alvarez;82
306;Komentarz113;Grupa 1;Dzial 1;Ernestine Mathis ;35
307;Komentarz913;Grupa 0;Dzial 3;Janie Grant;50
308;Komentarz508;Grupa 0;Dzial 2;Noah Barnes ;28
309;Komentarz289;Grupa 0;Dzial 2;Al Welch ;36
310;Komentarz315;Grupa 2;Dzial 0;Phil Briggs;96
311;Komentarz41;Grupa 0;Dzial 2;Irene Sandoval;75
312;Komentarz59;Grupa 2;Dzial 1;Roy Weaver ;74
313;Komentarz110;Grupa 0;Dzial 3;Dennis Kelley ;77
314;Komentarz841;Grupa 2;Dzial 1;Marta Clarke;54
315;Komentarz641;Grupa 0;Dzial 3;Paulette Mcdaniel ;30
316;Komentarz130;Grupa 1;Dzial 0;Elsie Alvarez;41
317;Komentarz79;Grupa 0;Dzial 1;Frederick Mclaughlin;59
318;Komentarz948;Grupa 1;Dzial 1;Ernestine Mathis ;38
319;Komentarz369;Grupa 2;Dzial 1;Ramiro Thompson;92
320;Komentarz994;Grupa 0;Dzial 2;Allen Thompson;75
321;Komentarz245;Grupa 0;Dzial 2;Nora Roberts;96
322;Komentarz563;Grupa 1;Dzial 3;Rex Casey ;85
323;Komentarz691;Grupa 2;Dzial 1;Roy Weaver ;75
324;Komentarz716;Grupa 2;Dzial 0;Phil Briggs;50
325;Komentarz49;Grupa 1;Dzial 1;Elizabeth Conner;93
326;Komentarz762;Grupa 2;Dzial 2;Christina Nguyen;320
327;Komentarz280;Grupa 1;Dzial 1;Orlando Delgado;116
328;Komentarz16;Grupa 0;Dzial 2;Cora Moody ;155
329;Komentarz421;Grupa 1;Dzial 0;Rogelio Tucker;160
330;Komentarz783;Grupa 2;Dzial 1;Marta Clarke;281
331;Komentarz576;Grupa 0;Dzial 3;Janie Grant;149
332;Komentarz833;Grupa 2;Dzial 1;Marta Clarke;184
333;Komentarz336;Grupa 1;Dzial 1;Luther Ramsey ;204
334;Komentarz205;Grupa 1;Dzial 1;Elizabeth Conner;115
335;Komentarz653;Grupa 2;Dzial 3;Shawn Santos ;118
336;Komentarz487;Grupa 0;Dzial 2;Jenna Dean;319
337;Komentarz989;Grupa 1;Dzial 3;Rex Casey ;150
338;Komentarz965;Grupa 0;Dzial 2;Allen Thompson;229
339;Komentarz80;Grupa 0;Dzial 1;Frederick Mclaughlin;274
340;Komentarz403;Grupa 2;Dzial 1;Ramiro Thompson;160
341;Komentarz44;Grupa 1;Dzial 2;Tanya Bridges ;165
342;Komentarz919;Grupa 2;Dzial 2;Christina Nguyen;103
343;Komentarz410;Grupa 1;Dzial 0;Alison Lyons;138
344;Komentarz349;Grupa 0;Dzial 3;Jose Gilbert ;243
345;Komentarz806;Grupa 2;Dzial 2;Alberto Allison ;245
346;Komentarz84;Grupa 2;Dzial 1;Roy Weaver ;233
347;Komentarz187;Grupa 1;Dzial 2;Tanya Bridges ;133
348;Komentarz928;Grupa 2;Dzial 1;Marta Clarke;279
349;Komentarz781;Grupa 1;Dzial 1;Luther Ramsey ;264
350;Komentarz590;Grupa 2;Dzial 1;Roy Weaver ;135
351;Komentarz901;Grupa 2;Dzial 1;Marta Clarke;293
352;Komentarz971;Grupa 1;Dzial 2;Tanya Bridges ;214
353;Komentarz233;Grupa 2;Dzial 1;Diana Pierce ;247
354;Komentarz78;Grupa 1;Dzial 3;Rex Casey ;272
355;Komentarz921;Grupa 1;Dzial 1;Elizabeth Conner;210
356;Komentarz569;Grupa 0;Dzial 2;Irene Sandoval;100
357;Komentarz354;Grupa 0;Dzial 3;Salvador Reese ;205
358;Komentarz564;Grupa 2;Dzial 1;Alan Underwood ;157
359;Komentarz751;Grupa 1;Dzial 0;Elsie Alvarez;165
360;Komentarz537;Grupa 1;Dzial 3;Izydor Patryk;291
361;Komentarz60;Grupa 1;Dzial 0;Alison Lyons;205
362;Komentarz465;Grupa 0;Dzial 3;Dennis Kelley ;117
363;Komentarz505;Grupa 0;Dzial 2;Nora Roberts;250
364;Komentarz606;Grupa 0;Dzial 1;Frederick Mclaughlin;302
365;Komentarz613;Grupa 0;Dzial 2;Allen Thompson;275
366;Komentarz767;Grupa 1;Dzial 1;Elizabeth Conner;235
367;Komentarz88;Grupa 0;Dzial 2;Bernard Ellis ;111
368;Komentarz119;Grupa 0;Dzial 2;Allen Thompson;264
369;Komentarz655;Grupa 0;Dzial 2;Irene Sandoval;140
370;Komentarz350;Grupa 2;Dzial 1;Alan Underwood ;130
371;Komentarz668;Grupa 0;Dzial 2;Jenna Dean;299
372;Komentarz134;Grupa 0;Dzial 3;Salvador Reese ;234
373;Komentarz140;Grupa 0;Dzial 3;Jose Gilbert ;251
374;Komentarz783;Grupa 0;Dzial 1;Frederick Mclaughlin;248
375;Komentarz240;Grupa 0;Dzial 3;Paulette Mcdaniel ;174
376;Komentarz677;Grupa 0;Dzial 2;Irene Sandoval;244
377;Komentarz588;Grupa 0;Dzial 3;Salvador Reese ;173
378;Komentarz493;Grupa 1;Dzial 3;Izydor Patryk;237
379;Komentarz410;Grupa 1;Dzial 0;Alison Lyons;176
380;Komentarz907;Grupa 2;Dzial 1;Alan Underwood ;118
381;Komentarz256;Grupa 2;Dzial 1;Marta Clarke;292
382;Komentarz550;Grupa 1;Dzial 0;Elsie Alvarez;192
383;Komentarz806;Grupa 1;Dzial 1;Elizabeth Conner;112
384;Komentarz986;Grupa 2;Dzial 2;Guy Moran ;258
385;Komentarz161;Grupa 1;Dzial 0;Elsie Alvarez;197
386;Komentarz773;Grupa 0;Dzial 2;Nora Roberts;116
387;Komentarz163;Grupa 2;Dzial 3;Shawn Santos ;247
388;Komentarz331;Grupa 1;Dzial 1;Angelica Hale;133
389;Komentarz249;Grupa 1;Dzial 1;Angelica Hale;247
390;Komentarz355;Grupa 1;Dzial 1;Ernestine Mathis ;184
391;Komentarz891;Grupa 2;Dzial 1;Roy Weaver ;184
392;Komentarz247;Grupa 0;Dzial 3;Salvador Reese ;125
393;Komentarz416;Grupa 0;Dzial 3;Jose Gilbert ;181
394;Komentarz656;Grupa 1;Dzial 3;Izydor Patryk;321
395;Komentarz935;Grupa 2;Dzial 2;Alberto Allison ;322
396;Komentarz327;Grupa 0;Dzial 2;Noah Barnes ;289
397;Komentarz679;Grupa 1;Dzial 0;Rogelio Tucker;208
398;Komentarz373;Grupa 0;Dzial 2;Cora Moody ;211
399;Komentarz335;Grupa 0;Dzial 2;Allen Thompson;242
400;Komentarz244;Grupa 0;Dzial 2;Nora Roberts;252
401;Komentarz431;Grupa 1;Dzial 1;Brett Swanson ;317
402;Komentarz260;Grupa 1;Dzial 3;Izydor Patryk;155
403;Komentarz629;Grupa 0;Dzial 3;Paulette Mcdaniel ;249
404;Komentarz543;Grupa 2;Dzial 1;Ramiro Thompson;245
405;Komentarz841;Grupa 0;Dzial 3;Lorraine Cortez ;322
406;Komentarz133;Grupa 2;Dzial 3;Shawn Santos ;179
